,subject_uuid,lab_name,subject_project,session_date,subject_nickname,sex,subject_birth_date,avg_weight,total_water,watertype,weekend_water_regime
64,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-10-31,KS019,F,2019-04-30,21.700000762939453,1.5299999713897705,Water 10% Sucrose,restr
65,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-11-01,KS019,F,2019-04-30,22.100000381469727,1.055999994277954,Water 10% Sucrose,restr
66,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-11-04,KS019,F,2019-04-30,22.0,1.4190000295639038,Water 10% Sucrose,restr
67,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-11-05,KS019,F,2019-04-30,22.0,1.347000002861023,Water 10% Sucrose,restr
68,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-11-06,KS019,F,2019-04-30,21.700000762939453,1.0,Water,restr
69,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-11-07,KS019,F,2019-04-30,21.899999618530273,1.3559999465942383,Water 10% Sucrose,restr
70,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-11-08,KS019,F,2019-04-30,22.5,0.8999999761581421,Water,restr
71,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-11-11,KS019,F,2019-04-30,23.600000381469727,0.9095000177621841,Water; Water 10% Sucrose,restr
72,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-11-12,KS019,F,2019-04-30,24.0,0.929999977350235,Water; Water 10% Sucrose,restr
73,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-11-13,KS019,F,2019-04-30,24.0,0.949999988079071,Water,restr
74,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-11-14,KS019,F,2019-04-30,23.5,0.9359999895095825,Water; Water 10% Sucrose,restr
75,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-11-15,KS019,F,2019-04-30,22.799999237060547,0.9115000069141388,Water; Water 10% Sucrose,restr
76,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-11-18,KS019,F,2019-04-30,22.700000762939453,0.9035000093281269,Water; Water 10% Sucrose,restr
77,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-11-19,KS019,F,2019-04-30,22.600000381469727,0.9165000319480896,Water; Water 10% Sucrose,restr
78,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-11-20,KS019,F,2019-04-30,22.100000381469727,0.8500000238418579,Water,restr
79,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-11-21,KS019,F,2019-04-30,21.899999618530273,1.034999966621399,Water 10% Sucrose,restr
80,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-11-22,KS019,F,2019-04-30,22.200000762939453,1.0049999952316284,Water 10% Sucrose,restr
81,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-11-25,KS019,F,2019-04-30,22.299999237060547,1.1699999570846558,Water 10% Sucrose,restr
82,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-11-26,KS019,F,2019-04-30,22.799999237060547,0.8815000057220459,Water; Water 10% Sucrose,restr
83,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-11-27,KS019,F,2019-04-30,23.0,1.11899995803833,Water 10% Sucrose,restr
84,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-11-28,KS019,F,2019-04-30,22.899999618530273,1.087499976158142,Water 10% Sucrose,restr
85,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-11-29,KS019,F,2019-04-30,22.899999618530273,0.8994999900460243,Water; Water 10% Sucrose,restr
86,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-12-02,KS019,F,2019-04-30,22.299999237060547,1.1354999542236328,Water 10% Sucrose,restr
87,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-12-03,KS019,F,2019-04-30,22.5,0.8600000143051147,Water,restr
88,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-12-04,KS019,F,2019-04-30,21.600000381469727,0.8299999833106995,Water,restr
89,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-12-05,KS019,F,2019-04-30,22.299999237060547,1.0019999742507935,Water 10% Sucrose,restr
90,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-12-06,KS019,F,2019-04-30,21.600000381469727,1.0425000190734863,Water 10% Sucrose,restr
91,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-12-09,KS019,F,2019-04-30,21.5,1.0529999732971191,Water 10% Sucrose,restr
92,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-12-10,KS019,F,2019-04-30,22.100000381469727,1.0440000295639038,Water 10% Sucrose,restr
93,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-12-11,KS019,F,2019-04-30,22.399999618530273,0.8600000143051147,Water,restr
94,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-12-12,KS019,F,2019-04-30,22.200000762939453,1.153499960899353,Water 10% Sucrose,restr
95,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-12-13,KS019,F,2019-04-30,22.5,1.0019999742507935,Water 10% Sucrose,restr
96,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2020-01-03,KS019,F,2019-04-30,26.100000381469727,1.100000023841858,Water,restr
97,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2020-01-06,KS019,F,2019-04-30,21.899999618530273,1.0544999837875366,Water; Water 10% Sucrose,restr
98,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2020-01-07,KS019,F,2019-04-30,21.700000762939453,0.9285000115633011,Water; Water 10% Sucrose,restr
99,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2020-01-08,KS019,F,2019-04-30,21.299999237060547,5.0,Water,restr
100,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2020-01-09,KS019,F,2019-04-30,23.299999237060547,1.5519999861717224,Water; Water 10% Sucrose,restr
101,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2020-01-10,KS019,F,2019-04-30,23.899999618530273,1.022000014781952,Water; Water 10% Sucrose,restr
102,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2020-01-13,KS019,F,2019-04-30,23.0,0.9155000150203705,Water; Water 10% Sucrose,restr
103,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2020-01-14,KS019,F,2019-04-30,23.299999237060547,0.898499995470047,Water; Water 10% Sucrose,restr
104,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2020-01-15,KS019,F,2019-04-30,22.81999969482422,0.8999999761581421,Water,restr
105,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2020-01-16,KS019,F,2019-04-30,23.0,0.910999983549118,Water; Water 10% Sucrose,restr
106,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2020-01-17,KS019,F,2019-04-30,22.600000381469727,0.9545000083744526,Water; Water 10% Sucrose,restr
107,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2020-01-20,KS019,F,2019-04-30,22.799999237060547,0.9100000038743019,Water; Water 10% Sucrose,restr
108,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2020-01-21,KS019,F,2019-04-30,22.350000381469727,0.8974999934434891,Water; Water 10% Sucrose,restr
