,subject_uuid,subject_nickname,subject_birth_date,sex,subject_strain,subject_line,session_date,avg_weight,total_water
47,03956b1f-6836-4c5f-9dea-b57b5292b177,6870,2018-06-25,M,C57BL/6J,Thy1-GCaMP6s,2018-09-21,31.770000457763672,1.3649999976158143
48,03956b1f-6836-4c5f-9dea-b57b5292b177,6870,2018-06-25,M,C57BL/6J,Thy1-GCaMP6s,2018-10-10,29.670000076293945,1.3649999976158143
49,03956b1f-6836-4c5f-9dea-b57b5292b177,6870,2018-06-25,M,C57BL/6J,Thy1-GCaMP6s,2018-10-02,28.399999618530273,1.3649999976158143
50,03956b1f-6836-4c5f-9dea-b57b5292b177,6870,2018-06-25,M,C57BL/6J,Thy1-GCaMP6s,2018-10-22,30.6299991607666,1.3649999976158143
51,03956b1f-6836-4c5f-9dea-b57b5292b177,6870,2018-06-25,M,C57BL/6J,Thy1-GCaMP6s,2018-09-24,32.70000076293945,1.3649999976158143
52,069f70bb-9756-441b-aa69-76b4155547e4,ZM_202,2018-07-22,F,C57BL/6J,Thy1-GCaMP6s,2018-10-22,22.59000015258789,0.6800000190734863
53,069f70bb-9756-441b-aa69-76b4155547e4,ZM_202,2018-07-22,F,C57BL/6J,Thy1-GCaMP6s,2018-09-24,22.510000228881836,0.6800000190734863
54,069f70bb-9756-441b-aa69-76b4155547e4,ZM_202,2018-07-22,F,C57BL/6J,Thy1-GCaMP6s,2018-10-11,21.90999984741211,0.6800000190734863
55,069f70bb-9756-441b-aa69-76b4155547e4,ZM_202,2018-07-22,F,C57BL/6J,Thy1-GCaMP6s,2018-10-03,20.670000076293945,0.6800000190734863
56,069f70bb-9756-441b-aa69-76b4155547e4,ZM_202,2018-07-22,F,C57BL/6J,Thy1-GCaMP6s,2018-10-23,22.559999465942383,0.6800000190734863
57,069f70bb-9756-441b-aa69-76b4155547e4,ZM_202,2018-07-22,F,C57BL/6J,Thy1-GCaMP6s,2018-09-25,21.219999313354492,0.6800000190734863
58,069f70bb-9756-441b-aa69-76b4155547e4,ZM_202,2018-07-22,F,C57BL/6J,Thy1-GCaMP6s,2018-10-12,21.969999313354492,0.6800000190734863
59,069f70bb-9756-441b-aa69-76b4155547e4,ZM_202,2018-07-22,F,C57BL/6J,Thy1-GCaMP6s,2018-09-17,22.239999771118164,0.6800000190734863
60,069f70bb-9756-441b-aa69-76b4155547e4,ZM_202,2018-07-22,F,C57BL/6J,Thy1-GCaMP6s,2018-10-04,20.56999969482422,0.6800000190734863
61,069f70bb-9756-441b-aa69-76b4155547e4,ZM_202,2018-07-22,F,C57BL/6J,Thy1-GCaMP6s,2018-09-26,20.610000610351562,0.6800000190734863
62,069f70bb-9756-441b-aa69-76b4155547e4,ZM_202,2018-07-22,F,C57BL/6J,Thy1-GCaMP6s,2018-10-15,21.649999618530273,0.6800000190734863
63,069f70bb-9756-441b-aa69-76b4155547e4,ZM_202,2018-07-22,F,C57BL/6J,Thy1-GCaMP6s,2018-09-18,22.670000076293945,0.6800000190734863
