,subject_uuid,lab_name,subject_project,days_to_trained,subject_nickname,sex,subject_birth_date,institution_short,date_trained,weekend_water_regime,mouse,perf_easy,n_trials,rt,threshold,bias,lapse_low,lapse_high,lapse
103,bdc2ab7c-e9c9-43a9-b53d-6d3937d204f7,mainenlab,ibl_neuropixel_brainwide_01,15.0,ZM_1369,M,2018-12-24,CCU,2019-04-22,CA,ZM_1369,88.06584362139918,545.3333333333334,0.4265000000000043,16.9310681262957,0.7972887755350065,0.07050853826052639,0.18058552856299423,0.12554703341176032
104,c00e0ffb-b8c6-4953-b9e7-975a3f4fd989,wittenlab,ibl_neuropixel_brainwide_01,6.0,ibl_witten_14,M,2019-04-23,Princeton,2019-08-16,restr,ibl_witten_14,87.42304309586632,621.6666666666666,0.359050500000194,14.82642711324516,12.958470289246756,0.11898866346009701,0.10655223614065823,0.11277044980037762
105,c0131499-855d-4513-851b-037438214cf6,zadorlab,ibl_neuropixel_brainwide_01,15.0,CSH_ZAD_017,F,2019-11-12,CSHL,2020-03-13,CA,CSH_ZAD_017,89.30348258706468,626.6666666666666,0.3358000000000061,8.534299034045286,-6.967312457438226,0.1239278617798143,0.13164974828761544,0.12778880503371487
106,c25a02e4-d912-4c7e-8381-5cc1cec06faf,hoferlab,ibl_neuropixel_brainwide_01,20.0,SWC_014,M,2019-06-04,SWC,2019-09-20,restr,SWC_014,87.56756756756758,544.0,0.45859999999993306,16.24453466791887,11.48147777893363,0.19385075473584037,0.04851868585055752,0.12118472029319895
107,c387f80c-7a5c-4f11-a8e1-fe6ba3ed8cfe,cortexlab,ibl_neuropixel_brainwide_01,9.0,KS024,F,2019-06-25,UCL,2019-10-15,restr,KS024,91.82968929804373,713.0,0.38340050000012127,11.195157032933324,-2.1332023473608617,0.10775201706545828,0.10856137149987773,0.108156694282668
108,c6e8125f-b6c7-4349-b74d-32e8bd606f63,cortexlab,ibl_neuropixel_brainwide_01,5.0,KS023,F,2019-06-25,UCL,2019-10-11,restr,KS023,91.16161616161617,447.6666666666667,0.48899999999991905,9.588489514466929,3.259814385388525,0.13091850173536926,0.08030272233465284,0.10561061203501104
109,c8b4e70d-3f13-42f6-ba22-ffb92c26beaf,wittenlab,ibl_neuropixel_brainwide_01,9.0,ibl_witten_04,M,2018-11-06,Princeton,2019-02-19,restr,ibl_witten_04,90.15444015444015,1214.0,0.37085000000001855,17.211156065644676,6.823584635715571,0.19865057691801782,0.020025722589197312,0.10933814975360756
110,cb21532d-eb0f-4706-b088-bf4afc65e81a,mainenlab,ibl_neuropixel_brainwide_01,9.0,ZM_2107,M,2019-06-10,CCU,2019-10-03,CA,ZM_2107,83.56254092992796,902.3333333333334,0.26765049999994517,13.423383003033194,-7.009839565389369,0.1567694589791895,0.15354414300139924,0.15515680099029439
111,cb761037-e499-4ba4-a7b3-9be8b8410cbc,wittenlab,ibl_neuropixel_brainwide_01,14.0,ibl_witten_16,M,2019-04-23,Princeton,2019-08-28,restr,ibl_witten_16,91.13924050632912,751.0,0.49000100000000657,15.414721590446868,-12.2792315230914,0.08506173757412472,0.10769171910356246,0.09637672833884359
112,ccf1fcaa-11c8-4c3b-a8ec-7f5df35d7605,mainenlab,ibl_neuropixel_brainwide_01,20.0,ZM_3001,M,2019-11-10,CCU,2020-03-10,CA,ZM_3001,94.73684210526315,646.6666666666666,0.5259004999998638,17.04770539916897,-13.44996205649036,0.012563274349911956,0.12418436141103065,0.0683738178804713
113,ce22048c-79d2-4498-b385-67baea41258d,zadorlab,ibl_neuropixel_brainwide_01,14.0,CSH_ZAD_005,F,2019-04-16,CSHL,2019-08-30,CA,CSH_ZAD_005,90.65743944636678,510.3333333333333,0.4445494999999937,16.197541902662916,12.497160780271809,0.14175791053044778,0.03597880863963182,0.0888683595850398
