,subject_uuid,subject_nickname,subject_birth_date,sex,subject_strain,subject_line,session_date,avg_weight
35,2f657e9f-1844-441f-a0e5-7e1bf9fce2d7,CSHL073,2019-04-02,M,C57BL/6J,C57BL/6J,2020-02-28,35.77000045776367
36,2f657e9f-1844-441f-a0e5-7e1bf9fce2d7,CSHL073,2019-04-02,M,C57BL/6J,C57BL/6J,2020-03-09,29.510000228881836
37,2f657e9f-1844-441f-a0e5-7e1bf9fce2d7,CSHL073,2019-04-02,M,C57BL/6J,C57BL/6J,2020-03-17,29.149999618530273
38,2f657e9f-1844-441f-a0e5-7e1bf9fce2d7,CSHL073,2019-04-02,M,C57BL/6J,C57BL/6J,2020-03-02,35.790000915527344
39,2f657e9f-1844-441f-a0e5-7e1bf9fce2d7,CSHL073,2019-04-02,M,C57BL/6J,C57BL/6J,2020-03-10,29.309999465942383
40,2f657e9f-1844-441f-a0e5-7e1bf9fce2d7,CSHL073,2019-04-02,M,C57BL/6J,C57BL/6J,2020-03-18,29.270000457763672
41,2f657e9f-1844-441f-a0e5-7e1bf9fce2d7,CSHL073,2019-04-02,M,C57BL/6J,C57BL/6J,2020-03-03,33.099998474121094
42,2f657e9f-1844-441f-a0e5-7e1bf9fce2d7,CSHL073,2019-04-02,M,C57BL/6J,C57BL/6J,2020-03-11,29.09000015258789
43,2f657e9f-1844-441f-a0e5-7e1bf9fce2d7,CSHL073,2019-04-02,M,C57BL/6J,C57BL/6J,2020-03-04,31.540000915527344
44,2f657e9f-1844-441f-a0e5-7e1bf9fce2d7,CSHL073,2019-04-02,M,C57BL/6J,C57BL/6J,2020-03-12,28.989999771118164
45,2f657e9f-1844-441f-a0e5-7e1bf9fce2d7,CSHL073,2019-04-02,M,C57BL/6J,C57BL/6J,2020-02-24,35.720001220703125
46,2f657e9f-1844-441f-a0e5-7e1bf9fce2d7,CSHL073,2019-04-02,M,C57BL/6J,C57BL/6J,2020-03-05,31.299999237060547
47,2f657e9f-1844-441f-a0e5-7e1bf9fce2d7,CSHL073,2019-04-02,M,C57BL/6J,C57BL/6J,2020-03-13,31.600000381469727
48,2f657e9f-1844-441f-a0e5-7e1bf9fce2d7,CSHL073,2019-04-02,M,C57BL/6J,C57BL/6J,2020-02-25,35.220001220703125
49,2f657e9f-1844-441f-a0e5-7e1bf9fce2d7,CSHL073,2019-04-02,M,C57BL/6J,C57BL/6J,2020-03-06,31.559999465942383
50,2f657e9f-1844-441f-a0e5-7e1bf9fce2d7,CSHL073,2019-04-02,M,C57BL/6J,C57BL/6J,2020-03-14,28.790000915527344
51,2f657e9f-1844-441f-a0e5-7e1bf9fce2d7,CSHL073,2019-04-02,M,C57BL/6J,C57BL/6J,2020-02-26,36.099998474121094
52,2f657e9f-1844-441f-a0e5-7e1bf9fce2d7,CSHL073,2019-04-02,M,C57BL/6J,C57BL/6J,2020-03-07,28.440000534057617
53,2f657e9f-1844-441f-a0e5-7e1bf9fce2d7,CSHL073,2019-04-02,M,C57BL/6J,C57BL/6J,2020-03-15,28.829999923706055
54,2f657e9f-1844-441f-a0e5-7e1bf9fce2d7,CSHL073,2019-04-02,M,C57BL/6J,C57BL/6J,2020-02-27,35.2599983215332
55,2f657e9f-1844-441f-a0e5-7e1bf9fce2d7,CSHL073,2019-04-02,M,C57BL/6J,C57BL/6J,2020-03-08,29.049999237060547
56,2f657e9f-1844-441f-a0e5-7e1bf9fce2d7,CSHL073,2019-04-02,M,C57BL/6J,C57BL/6J,2020-03-16,28.479999542236328
57,364fc3a9-743e-4af2-a284-bf3bfc43c8c6,CSHL064,2019-08-13,M,C57BL/6J,C57BL/6J,2020-03-03,27.389999389648438
58,364fc3a9-743e-4af2-a284-bf3bfc43c8c6,CSHL064,2019-08-13,M,C57BL/6J,C57BL/6J,2020-03-11,28.700000762939453
59,364fc3a9-743e-4af2-a284-bf3bfc43c8c6,CSHL064,2019-08-13,M,C57BL/6J,C57BL/6J,2020-03-04,26.15999984741211
60,364fc3a9-743e-4af2-a284-bf3bfc43c8c6,CSHL064,2019-08-13,M,C57BL/6J,C57BL/6J,2020-03-12,28.90999984741211
61,364fc3a9-743e-4af2-a284-bf3bfc43c8c6,CSHL064,2019-08-13,M,C57BL/6J,C57BL/6J,2020-02-24,32.56999969482422
62,364fc3a9-743e-4af2-a284-bf3bfc43c8c6,CSHL064,2019-08-13,M,C57BL/6J,C57BL/6J,2020-03-05,26.09000015258789
63,364fc3a9-743e-4af2-a284-bf3bfc43c8c6,CSHL064,2019-08-13,M,C57BL/6J,C57BL/6J,2020-03-13,26.809999465942383
64,364fc3a9-743e-4af2-a284-bf3bfc43c8c6,CSHL064,2019-08-13,M,C57BL/6J,C57BL/6J,2020-02-25,32.36000061035156
65,364fc3a9-743e-4af2-a284-bf3bfc43c8c6,CSHL064,2019-08-13,M,C57BL/6J,C57BL/6J,2020-03-06,25.350000381469727
66,364fc3a9-743e-4af2-a284-bf3bfc43c8c6,CSHL064,2019-08-13,M,C57BL/6J,C57BL/6J,2020-02-26,33.900001525878906
