,subject_uuid,session_date,subject_nickname,sex,subject_birth_date,ear_mark,subject_line,subject_source,protocol_number,subject_description,subject_ts,subject_strain,avg_weight,session_day,condition
41,034c07c5-69b0-48c7-ab3e-e491e4dbb725,2018-09-06,IBL_25,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.02918453100586,28,6
42,034c07c5-69b0-48c7-ab3e-e491e4dbb725,2018-09-17,IBL_25,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.012875554128385,39,6
43,034c07c5-69b0-48c7-ab3e-e491e4dbb725,2018-09-27,IBL_25,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.030042919752163,49,5
44,278bf922-073e-4ef4-90b5-ccf4e25e08fe,2018-08-10,IBL_26,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0497476475976038,1,1
45,278bf922-073e-4ef4-90b5-ccf4e25e08fe,2018-08-19,IBL_26,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,0.9747656536151718,10,1
46,278bf922-073e-4ef4-90b5-ccf4e25e08fe,2018-08-28,IBL_26,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0122566952991283,19,6
47,278bf922-073e-4ef4-90b5-ccf4e25e08fe,2018-09-06,IBL_26,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0745854593612694,28,6
48,278bf922-073e-4ef4-90b5-ccf4e25e08fe,2018-09-17,IBL_26,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.073179515130521,39,6
49,278bf922-073e-4ef4-90b5-ccf4e25e08fe,2018-09-27,IBL_26,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.031002171448366,49,5
50,278bf922-073e-4ef4-90b5-ccf4e25e08fe,2018-08-11,IBL_26,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0122566952991283,2,1
51,278bf922-073e-4ef4-90b5-ccf4e25e08fe,2018-08-20,IBL_26,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0028839125317688,11,1
52,278bf922-073e-4ef4-90b5-ccf4e25e08fe,2018-08-29,IBL_26,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0263157800646863,20,6
53,278bf922-073e-4ef4-90b5-ccf4e25e08fe,2018-09-07,IBL_26,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0497476475976038,29,6
54,278bf922-073e-4ef4-90b5-ccf4e25e08fe,2018-09-19,IBL_26,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0877072479729952,41,5
55,278bf922-073e-4ef4-90b5-ccf4e25e08fe,2018-10-01,IBL_26,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0455299042908401,53,5
56,278bf922-073e-4ef4-90b5-ccf4e25e08fe,2018-08-12,IBL_26,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0122566952991283,3,1
58,278bf922-073e-4ef4-90b5-ccf4e25e08fe,2018-08-30,IBL_26,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.031002171448366,21,6
59,278bf922-073e-4ef4-90b5-ccf4e25e08fe,2018-09-08,IBL_26,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.059120430364963,30,6
60,278bf922-073e-4ef4-90b5-ccf4e25e08fe,2018-09-20,IBL_26,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0713050122083378,42,5
61,278bf922-073e-4ef4-90b5-ccf4e25e08fe,2018-10-03,IBL_26,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.031002171448366,55,5
62,278bf922-073e-4ef4-90b5-ccf4e25e08fe,2018-08-13,IBL_26,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0075703039154484,4,1
63,278bf922-073e-4ef4-90b5-ccf4e25e08fe,2018-08-22,IBL_26,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,0.9794520449988514,13,1
